id;pregunta;tipo;categoria;dificultad;fun_fact;fecha_creacion;fecha_mostrada;ruta_audio;ruta_imagen
1;"Todos hemos escuchado mil veces ""Sarandonga"", pero que día se va a comer el ""arroz con bacalao"" ?";Normal;Encuestas WhatsApp;Media;La canción dice “mañana domingo”, así que el festín es el sábado. Se convirtió en himno popular en España gracias a Lolita.;2023-01-14T11:43;;;
2;¿Cuál de los siguientes instrumentos es un instrumento de *CUERDA PULSADA* ?;Normal;Encuestas WhatsApp;Media;La lira era el instrumento favorito de la Antigua Grecia y se usaba para acompañar poesía y cantos.;2023-01-14T13:55;;;
3;¿Cuál de estás palabras procede del Euskera? ??;Relampago;Encuestas WhatsApp;Media;Proviene del vasco txatarra, que significa hierro de desecho o pedazo roto.;2023-01-15T15:35;;;
4;Técnica culinaria que consiste en semicocinar alimentos sumergiendolos en agua hirviendo ?;Relampago;Encuestas WhatsApp;Media;Se usa para fijar color y textura, y también para quitar sabores fuertes o impurezas.;2023-01-15T15:37;;;
5;La escala de Beaufort es una medida empirica de ls intensidad ... ;Relampago;Encuestas WhatsApp;Media;Creada en 1805, permite estimar la fuerza del viento observando sus efectos en el mar o en tierra.;2023-01-15T15:39;;;
6;Por protocolo, puedes llevar el primer botón de la camisa desabrochado con corbata?;Relampago;Encuestas WhatsApp;Media;La etiqueta formal indica que la corbata siempre va con el cuello cerrado, salvo en estilos informales modernos.;2023-01-15T15:41;;;
7;Cuál de las siguientes combinaciones tortuga ninja - arma es *INCORRECTA* ?;Relampago;Encuestas WhatsApp;Media;Donatello usaba un b? (bastón largo), no un yumi (arco japonés).;2023-01-15T15:45;;;
8;¿Cuántos grados son necesarios para que dos ángulos sean complementarios?;Normal;Encuestas WhatsApp;Media;Dos ángulos son complementarios si suman 90°, como los de un triángulo rectángulo.;2023-01-16T10:46;;;
9;¿Cuál o cuáles de los siguientes organos *NO* forma parte del aparato digestivo? ;Normal;Encuestas WhatsApp;Media;El bazo pertenece al sistema linfático e inmunitario, no al digestivo.;2023-01-16T19:01;;;
10;¿Cual es el mineral más abundante del núcleo de La Tierra?;Normal;Encuestas WhatsApp;Media;El núcleo terrestre está compuesto en su mayoría por hierro (?85%) y níquel, generando el campo magnético.;2023-01-17T09:49;;;
11;Selecciona *SOLAMENTE* los colores primarios que se encuentran entre las siguientes opciones…;Normal;Encuestas WhatsApp;Media;En el modelo tradicional de mezcla de pigmentos (síntesis sustractiva) los colores primarios son rojo, azul y amarillo.;2023-01-17T15:43;;;
12;¿Cuántos años duró la primera Guerra Mundial?;Normal;Encuestas WhatsApp;Media;El conflicto comenzó en 1914 y finalizó en 1918, marcando un antes y un después en la historia mundial.;2023-01-18T08:43;;;
13;"¿De dónde es originaria la pieza de panadería de hojaldre conocida cómo ""Croissant""?";Normal;Encuestas WhatsApp;Media;Aunque es un símbolo francés, su origen está en Viena, inspirado en el kipferl.;2023-01-19T12:08;;;
14;¿Cuál de las siguientes opciones *NO* es una clasificación de verbos según su significado?;Normal;Encuestas WhatsApp;Media;En gramática no existen los “verbos sucesivos”, fue una opción inventada como distractor.;2023-01-20T09:33;;;
15;Una madre tiene 26 años más que su hijo , y dentro de 10 años tendrá el doble de años que su hijo . ¿Cuántos años tiene el hijo en la actualidad? ;Normal;Encuestas WhatsApp;Media;Con un simple sistema de ecuaciones se resuelve: madre 42, hijo 16.;2023-01-21T13:52;;;
